iter	Passed	Remaining
1426	7691	3088
1427	7696	3082
1428	7701	3077
1429	7707	3072
1430	7712	3066
1431	7716	3060
1432	7721	3055
1433	7725	3049
1434	7729	3043
1435	7732	3037
1436	7737	3031
1437	7740	3025
1438	7745	3019
1439	7748	3013
1440	7754	3008
1441	7760	3002
1442	7764	2997
1443	7772	2992
1444	7779	2987
1445	7784	2982
1446	7787	2976
1447	7792	2970
1448	7796	2964
1449	7799	2958
1450	7805	2953
1451	7810	2947
1452	7814	2941
1453	7816	2935
1454	7820	2929
1455	7828	2924
1456	7832	2918
1457	7837	2913
1458	7845	2909
1459	7852	2904
1460	7861	2900
1461	7868	2895
1462	7872	2889
1463	7876	2883
1464	7880	2877
1465	7884	2871
1466	7889	2866
1467	7892	2860
1468	7897	2854
1469	7901	2848
1470	7906	2843
1471	7910	2837
1472	7914	2831
1473	7919	2826
1474	7922	2820
1475	7927	2814
1476	7930	2808
1477	7934	2802
1478	7940	2797
1479	7944	2791
1480	7948	2785
1481	7952	2779
1482	7958	2774
1483	7964	2769
1484	7968	2763
1485	7973	2757
1486	7979	2752
1487	7984	2747
1488	7989	2741
1489	7995	2736
1490	8001	2731
1491	8005	2725
1492	8009	2719
1493	8015	2714
1494	8019	2708
1495	8025	2703
1496	8028	2697
1497	8038	2693
1498	8047	2689
1499	8052	2684
1500	8056	2678
1501	8060	2672
1502	8064	2666
1503	8069	2661
1504	8073	2655
1505	8077	2649
1506	8082	2644
1507	8086	2638
1508	8091	2632
1509	8095	2626
1510	8099	2621
1511	8103	2615
1512	8107	2609
1513	8113	2604
1514	8117	2598
1515	8121	2592
1516	8125	2587
1517	8130	2581
1518	8134	2575
1519	8138	2570
1520	8145	2565
1521	8148	2559
1522	8153	2553
1523	8157	2548
1524	8162	2542
1525	8167	2537
1526	8171	2531
1527	8175	2525
1528	8178	2519
1529	8186	2514
1530	8192	2509
1531	8196	2503
1532	8202	2498
1533	8206	2493
1534	8211	2487
1535	8217	2482
1536	8223	2477
1537	8228	2471
1538	8232	2466
1539	8241	2461
1540	8244	2455
1541	8251	2450
1542	8260	2446
1543	8264	2440
1544	8272	2436
1545	8282	2432
1546	8288	2427
1547	8293	2421
1548	8297	2415
1549	8302	2410
1550	8305	2404
1551	8310	2398
1552	8313	2392
1553	8319	2387
1554	8324	2382
1555	8329	2376
1556	8334	2371
1557	8337	2365
1558	8342	2359
1559	8345	2353
1560	8350	2348
1561	8354	2342
1562	8358	2336
1563	8363	2331
1564	8367	2325
1565	8373	2320
1566	8377	2314
1567	8381	2309
1568	8385	2303
1569	8389	2297
1570	8395	2292
1571	8398	2286
1572	8403	2281
1573	8407	2275
1574	8415	2270
1575	8422	2266
1576	8429	2260
1577	8434	2255
1578	8438	2250
1579	8445	2245
1580	8450	2239
1581	8453	2233
1582	8459	2228
1583	8463	2222
1584	8467	2217
1585	8472	2211
1586	8475	2205
1587	8480	2200
1588	8483	2194
1589	8489	2188
1590	8492	2183
1591	8497	2177
1592	8500	2171
1593	8504	2166
1594	8507	2160
1595	8512	2154
1596	8516	2149
1597	8521	2143
1598	8525	2138
1599	8530	2132
1600	8536	2127
1601	8539	2121
1602	8544	2116
1603	8548	2110
1604	8552	2104
1605	8557	2099
1606	8561	2093
1607	8565	2088
1608	8570	2082
1609	8574	2077
1610	8578	2071
1611	8583	2066
1612	8588	2060
1613	8591	2054
1614	8596	2049
1615	8606	2045
1616	8616	2040
1617	8624	2036
1618	8630	2030
1619	8633	2025
1620	8639	2020
1621	8644	2014
